id,description
1,CERTAIN INFECTIOUS AND PARASITIC DISEASES
2,NEOPLASMS
3,DISEASES OF THE BLOOD AND BLOOD-FORMING ORGANS AND CERTAIN DISORDERS INVOLVING THE IMMUNE MECHANISM
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC DISEASES"
5,MENTAL AND BEHAVIOURAL DISORDERS
6,DISEASES OF THE NERVOUS SYSTEM
7,DISEASES OF THE EYE AND ADNEXA
8,DISEASES OF THE EAR AND MASTOID PROCESS
9,DISEASES OF THE CIRCULATORY SYSTEM
10,DISEASES OF THE RESPIRATORY SYSTEM
11,DISEASES OF THE DIGESTIVE SYSTEM
12,DISEASES OF THE SKIN AND SUBCUTANEOUS TISSUE
13,DISEASES OF THE MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE
14,DISEASES OF THE GENITOURINARY SYSTEM
15,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM"
16,CERTAIN CONDITIONS ORIGINATING IN THE PERINATAL PERIOD
17,"CONGENITAL MALFORMATIONS, DEFORMATIONS AND CHROMOSOMAL ABNORMALITIES"
18,"SYMPTOMS, SIGNS AND ABNORMAL CLINICAL AND LABORATORY FINDINGS, NOT ELSEWHERE CLASSIFIED"
19,UNKNOWN
