id,code,description,category
1,A000,"CHOLERA DUE TO VIBRIO CHOLERAE 01, BIOVAR CHOLERAE",1
2,A001,"CHOLERA DUE TO VIBRIO CHOLERAE 01, BIOVAR ELTOR",1
3,A009,"CHOLERA, UNSPECIFIED",1
4,A010,TYPHOID FEVER,1
5,A011,PARATYPHOID FEVER A,1
6,A012,PARATYPHOID FEVER B,1
7,A013,PARATYPHOID FEVER C,1
8,A014,"PARATYPHOID FEVER, UNSPECIFIED",1
9,A020,SALMONELLA ENTERITIS,1
10,A021,SALMONELLA SEPTICAEMIA,1
11,A022,LOCALIZED SALMONELLA INFECTIONS,1
12,A028,OTHER SPECIFIED SALMONELLA INFECTIONS,1
13,A029,"SALMONELLA INFECTION, UNSPECIFIED",1
14,A030,SHIGELLOSIS DUE TO SHIGELLA DYSENTERIAE,1
15,A031,SHIGELLOSIS DUE TO SHIGELLA FLEXNERI,1
16,A032,SHIGELLOSIS DUE TO SHIGELLA BOYDII,1
17,A033,SHIGELLOSIS DUE TO SHIGELLA SONNEI,1
18,A038,OTHER SHIGELLOSIS,1
19,A039,"SHIGELLOSIS, UNSPECIFIED",1
20,A040,ENTEROPATHOGENIC ESCHERICHIA COLI INFECTION,1
21,A041,ENTEROTOXIGENIC ESCHERICHIA COLI INFECTION,1
22,A042,ENTEROINVASIVE ESCHERICHIA COLI INFECTION,1
23,A043,ENTEROHAEMORRHAGIC ESCHERICHIA COLI INFECTION,1
24,A044,OTHER INTESTINAL ESCHERICHIA COLI INFECTIONS,1
25,A045,CAMPYLOBACTER ENTERITIS,1
26,A046,ENTERITIS DUE TO YERSINIA ENTEROCOLITICA,1
27,A047,ENTEROCOLITIS DUE TO CLOSTRIDIUM DIFFICILE,1
28,A048,OTHER SPECIFIED BACTERIAL INTESTINAL INFECTIONS,1
29,A049,"BACTERIAL INTESTINAL INFECTION, UNSPECIFIED",1
30,A050,FOODBORNE STAPHYLOCOCCAL INTOXICATION,1
31,A051,BOTULISM,1
32,A052,FOODBORNE CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII] INTOXICATION,1
33,A053,FOODBORNE VIBRIO PARAHAEMOLYTICUS INTOXICATION,1
34,A054,FOODBORNE BACILLUS CEREUS INTOXICATION,1
35,A058,OTHER SPECIFIED BACTERIAL FOODBORNE INTOXICATIONS,1
36,A059,"BACTERIAL FOODBORNE INTOXICATION, UNSPECIFIED",1
37,A060,ACUTE AMOEBIC DYSENTERY,1
38,A061,CHRONIC INTESTINAL AMOEBIASIS,1
39,A062,AMOEBIC NONDYSENTERIC COLITIS,1
40,A063,AMOEBOMA OF INTESTINE,1
41,A064,AMOEBIC LIVER ABSCESS,1
42,A065,AMOEBIC LUNG ABSCESS,1
43,A066,AMOEBIC BRAIN ABSCESS,1
44,A067,CUTANEOUS AMOEBIASIS,1
45,A068,AMOEBIC INFECTION OF OTHER SITES,1
46,A069,"AMOEBIASIS, UNSPECIFIED",1
47,A070,BALANTIDIASIS,1
48,A071,GIARDIASIS [LAMBLIASIS],1
49,A072,CRYPTOSPORIDIOSIS,1
50,A073,ISOSPORIASIS,1
51,A078,OTHER SPECIFIED PROTOZOAL INTESTINAL DISEASES,1
52,A079,"PROTOZOAL INTESTINAL DISEASE, UNSPECIFIED",1
53,A080,ROTAVIRAL ENTERITIS,1
54,A081,ACUTE GASTROENTEROPATHY DUE TO NORWALK AGENT,1
55,A082,ADENOVIRAL ENTERITIS,1
56,A083,OTHER VIRAL ENTERITIS,1
57,A084,"VIRAL INTESTINAL INFECTION, UNSPECIFIED",1
58,A085,OTHER SPECIFIED INTESTINAL INFECTIONS,1
59,A09X,DIARRHOEA AND GASTROENTERITIS OF PRESUMED INFECTIOUS ORIGIN,1
60,A150,"TUBERCULOSIS OF LUNG, CONFIRMED BY SPUTUM MICROSCOPY WITH OR WITHOUT CULTURE",1
61,A151,"TUBERCULOSIS OF LUNG, CONFIRMED BY CULTURE ONLY",1
62,A152,"TUBERCULOSIS OF LUNG, CONFIRMED HISTOLOGICALLY",1
63,A153,"TUBERCULOSIS OF LUNG, CONFIRMED BY UNSPECIFIED MEANS",1
64,A154,"TUBERCULOSIS OF INTRATHORACIC LYMPH NODES, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY",1
65,A155,"TUBERCULOSIS OF LARYNX, TRACHEA AND BRONCHUS, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY",1
66,A156,"TUBERCULOUS PLEURISY, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY",1
67,A157,"PRIMARY RESPIRATORY TUBERCULOSIS, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY",1
68,A158,"OTHER RESPIRATORY TUBERCULOSIS, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY",1
69,A159,"RESPIRATORY TUBERCULOSIS UNSPECIFIED, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY",1
70,A160,"TUBERCULOSIS OF LUNG, BACTERIOLOGICALLY AND HISTOLOGICALLY NEGATIVE",1
71,A161,"TUBERCULOSIS OF LUNG, BACTERIOLOGICAL AND HISTOLOGICAL EXAMINATION NOT DONE",1
72,A162,"TUBERCULOSIS OF LUNG, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION",1
73,A163,"TUBERCULOSIS OF INTRATHORACIC LYMPH NODES, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION",1
74,A164,"TUBERCULOSIS OF LARYNX, TRACHEA AND BRONCHUS, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION",1
75,A165,"TUBERCULOUS PLEURISY, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION",1
76,A167,PRIMARY RESPIRATORY TUBERCULOSIS WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION,1
77,A168,"OTHER RESPIRATORY TUBERCULOSIS, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION",1
78,A169,"RESPIRATORY TUBERCULOSIS UNSPECIFIED, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION",1
79,A170,TUBERCULOUS MENINGITIS,1
80,A171,MENINGEAL TUBERCULOMA,1
81,A178,OTHER TUBERCULOSIS OF NERVOUS SYSTEM,1
82,A179,"TUBERCULOSIS OF NERVOUS SYSTEM, UNSPECIFIED",1
83,A180,TUBERCULOSIS OF BONES AND JOINTS,1
84,A181,TUBERCULOSIS OF GENITOURINARY SYSTEM,1
85,A182,TUBERCULOUS PERIPHERAL LYMPHADENOPATHY,1
86,A183,"TUBERCULOSIS OF INTESTINES, PERITONEUM AND MESENTERIC GLANDS",1
87,A184,TUBERCULOSIS OF SKIN AND SUBCUTANEOUS TISSUE,1
88,A185,TUBERCULOSIS OF EYE,1
89,A186,TUBERCULOSIS OF EAR,1
90,A187,TUBERCULOSIS OF ADRENAL GLANDS,1
91,A188,TUBERCULOSIS OF OTHER SPECIFIED ORGANS,1
92,A190,ACUTE MILIARY TUBERCULOSIS OF A SINGLE SPECIFIED SITE,1
93,A191,ACUTE MILIARY TUBERCULOSIS OF MULTIPLE SITES,1
94,A192,"ACUTE MILIARY TUBERCULOSIS, UNSPECIFIED",1
95,A198,OTHER MILIARY TUBERCULOSIS,1
96,A199,"MILIARY TUBERCULOSIS, UNSPECIFIED",1
97,A200,BUBONIC PLAGUE,1
98,A201,CELLULOCUTANEOUS PLAGUE,1
99,A202,PNEUMONIC PLAGUE,1
100,A203,PLAGUE MENINGITIS,1
101,A207,SEPTICAEMIC PLAGUE,1
102,A208,OTHER FORMS OF PLAGUE,1
103,A209,"PLAGUE, UNSPECIFIED",1
104,A210,ULCEROGLANDULAR TULARAEMIA,1
105,A211,OCULOGLANDULAR TULARAEMIA,1
106,A212,PULMONARY TULARAEMIA,1
107,A213,GASTROINTESTINAL TULARAEMIA,1
108,A217,GENERALIZED TULARAEMIA,1
109,A218,OTHER FORMS OF TULARAEMIA,1
110,A219,"TULARAEMIA, UNSPECIFIED",1
111,A220,CUTANEOUS ANTHRAX,1
112,A221,PULMONARY ANTHRAX,1
113,A222,GASTROINTESTINAL ANTHRAX,1
114,A227,ANTHRAX SEPTICAEMIA,1
115,A228,OTHER FORMS OF ANTHRAX,1
116,A229,"ANTHRAX, UNSPECIFIED",1
117,A230,BRUCELLOSIS DUE TO BRUCELLA MELITENSIS,1
118,A231,BRUCELLOSIS DUE TO BRUCELLA ABORTUS,1
119,A232,BRUCELLOSIS DUE TO BRUCELLA SUIS,1
120,A233,BRUCELLOSIS DUE TO BRUCELLA CANIS,1
121,A238,OTHER BRUCELLOSIS,1
122,A239,"BRUCELLOSIS, UNSPECIFIED",1
123,A240,GLANDERS,1
124,A241,ACUTE AND FULMINATING MELIOIDOSIS,1
125,A242,SUBACUTE AND CHRONIC MELIOIDOSIS,1
126,A243,OTHER MELIOIDOSIS,1
127,A244,"MELIOIDOSIS, UNSPECIFIED",1
128,A250,SPIRILLOSIS,1
129,A251,STREPTOBACILLOSIS,1
130,A259,"RAT-BITE FEVER, UNSPECIFIED",1
131,A260,CUTANEOUS ERYSIPELOID,1
132,A267,ERYSIPELOTHRIX SEPTICAEMIA,1
133,A268,OTHER FORMS OF ERYSIPELOID,1
134,A269,"ERYSIPELOID, UNSPECIFIED",1
135,A270,LEPTOSPIROSIS ICTEROHAEMORRHAGICA,1
136,A278,OTHER FORMS OF LEPTOSPIROSIS,1
137,A279,"LEPTOSPIROSIS, UNSPECIFIED",1
138,A280,PASTEURELLOSIS,1
139,A281,CAT-SCRATCH DISEASE,1
140,A282,EXTRAINTESTINAL YERSINIOSIS,1
141,A288,"OTHER SPECIFIED ZOONOTIC BACTERIAL DISEASES, NOT ELSEWHERE CLASSIFIED",1
142,A289,"ZOONOTIC BACTERIAL DISEASE, UNSPECIFIED",1
143,A300,INDETERMINATE LEPROSY,1
144,A301,TUBERCULOID LEPROSY,1
145,A302,BORDERLINE TUBERCULOID LEPROSY,1
146,A303,BORDERLINE LEPROSY,1
147,A304,BORDERLINE LEPROMATOUS LEPROSY,1
148,A305,LEPROMATOUS LEPROSY,1
149,A308,OTHER FORMS OF LEPROSY,1
150,A309,"LEPROSY, UNSPECIFIED",1
151,A310,PULMONARY MYCOBACTERIAL INFECTION,1
152,A311,CUTANEOUS MYCOBACTERIAL INFECTION,1
153,A318,OTHER MYCOBACTERIAL INFECTIONS,1
154,A319,"MYCOBACTERIAL INFECTION, UNSPECIFIED",1
155,A320,CUTANEOUS LISTERIOSIS,1
156,A321,LISTERIAL MENINGITIS AND MENINGOENCEPHALITIS,1
157,A327,LISTERIAL SEPTICAEMIA,1
158,A328,OTHER FORMS OF LISTERIOSIS,1
159,A329,"LISTERIOSIS, UNSPECIFIED",1
160,A33X,TETANUS NEONATORUM,1
161,A34X,OBSTETRICAL TETANUS,1
162,A35X,OTHER TETANUS,1
163,A360,PHARYNGEAL DIPHTHERIA,1
164,A361,NASOPHARYNGEAL DIPHTHERIA,1
165,A362,LARYNGEAL DIPHTHERIA,1
166,A363,CUTANEOUS DIPHTHERIA,1
167,A368,OTHER DIPHTHERIA,1
168,A369,"DIPHTHERIA, UNSPECIFIED",1
169,A370,WHOOPING COUGH DUE TO BORDETELLA PERTUSSIS,1
170,A371,WHOOPING COUGH DUE TO BORDETELLA PARAPERTUSSIS,1
171,A378,WHOOPING COUGH DUE TO OTHER BORDETELLA SPECIES,1
172,A379,"WHOOPING COUGH, UNSPECIFIED",1
173,A38X,SCARLET FEVER,1
174,A390,MENINGOCOCCAL MENINGITIS,1
175,A391,WATERHOUSE-FRIDERICHSEN SYNDROME,1
176,A392,ACUTE MENINGOCOCCAEMIA,1
177,A393,CHRONIC MENINGOCOCCAEMIA,1
178,A394,"MENINGOCOCCAEMIA, UNSPECIFIED",1
179,A395,MENINGOCOCCAL HEART DISEASE,1
180,A398,OTHER MENINGOCOCCAL INFECTIONS,1
181,A399,"MENINGOCOCCAL INFECTION, UNSPECIFIED",1
182,A400,"SEPTICAEMIA DUE TO STREPTOCOCCUS, GROUP A",1
183,A401,"SEPTICAEMIA DUE TO STREPTOCOCCUS, GROUP B",1
184,A402,"SEPTICAEMIA DUE TO STREPTOCOCCUS, GROUP D",1
185,A403,SEPTICAEMIA DUE TO STREPTOCOCCUS PNEUMONIAE,1
186,A408,OTHER STREPTOCOCCAL SEPTICAEMIA,1
187,A409,"STREPTOCOCCAL SEPTICAEMIA, UNSPECIFIED",1
188,A410,SEPTICAEMIA DUE TO STAPHYLOCOCCUS AUREUS,1
189,A411,SEPTICAEMIA DUE TO OTHER SPECIFIED STAPHYLOCOCCUS,1
190,A412,SEPTICAEMIA DUE TO UNSPECIFIED STAPHYLOCOCCUS,1
191,A413,SEPTICAEMIA DUE TO HAEMOPHILUS INFLUENZAE,1
192,A414,SEPTICAEMIA DUE TO ANAEROBES,1
193,A415,SEPTICAEMIA DUE TO OTHER GRAM-NEGATIVE ORGANISMS,1
194,A418,OTHER SPECIFIED SEPTICAEMIA,1
195,A419,"SEPTICAEMIA, UNSPECIFIED",1
196,A420,PULMONARY ACTINOMYCOSIS,1
197,A421,ABDOMINAL ACTINOMYCOSIS,1
198,A422,CERVICOFACIAL ACTINOMYCOSIS,1
199,A427,ACTINOMYCOTIC SEPTICAEMIA,1
200,A428,OTHER FORMS OF ACTINOMYCOSIS,1
201,A429,"ACTINOMYCOSIS, UNSPECIFIED",1
202,A430,PULMONARY NOCARDIOSIS,1
203,A431,CUTANEOUS NOCARDIOSIS,1
204,A438,OTHER FORMS OF NOCARDIOSIS,1
205,A439,"NOCARDIOSIS, UNSPECIFIED",1
206,A440,SYSTEMIC BARTONELLOSIS,1
207,A441,CUTANEOUS AND MUCOCUTANEOUS BARTONELLOSIS,1
208,A448,OTHER FORMS OF BARTONELLOSIS,1
209,A449,"BARTONELLOSIS, UNSPECIFIED",1
210,A46X,ERYSIPELAS,1
211,A480,GAS GANGRENE,1
212,A481,LEGIONNAIRES' DISEASE,1
213,A482,NONPNEUMONIC LEGIONNAIRES' DISEASE [PONTIAC FEVER],1
214,A483,TOXIC SHOCK SYNDROME,1
215,A484,BRAZILIAN PURPURIC FEVER,1
216,A488,OTHER SPECIFIED BACTERIAL DISEASES,1
217,A490,"STAPHYLOCOCCAL INFECTION, UNSPECIFIED SITE",1
218,A491,"STREPTOCOCCAL INFECTION, UNSPECIFIED SITE",1
219,A492,"HAEMOPHILUS INFLUENZAE INFECTION, UNSPECIFIED SITE",1
220,A493,"MYCOPLASMA INFECTION, UNSPECIFIED SITE",1
221,A498,OTHER BACTERIAL INFECTIONS OF UNSPECIFIED SITE,1
222,A499,"BACTERIAL INFECTION, UNSPECIFIED",1
223,A500,"EARLY CONGENITAL SYPHILIS, SYMPTOMATIC",1
224,A501,"EARLY CONGENITAL SYPHILIS, LATENT",1
225,A502,"EARLY CONGENITAL SYPHILIS, UNSPECIFIED",1
226,A503,LATE CONGENITAL SYPHILITIC OCULOPATHY,1
227,A504,LATE CONGENITAL NEUROSYPHILIS [JUVENILE NEUROSYPHILIS],1
228,A505,"OTHER LATE CONGENITAL SYPHILIS, SYMPTOMATIC",1
229,A506,"LATE CONGENITAL SYPHILIS, LATENT",1
230,A507,"LATE CONGENITAL SYPHILIS, UNSPECIFIED",1
231,A509,"CONGENITAL SYPHILIS, UNSPECIFIED",1
232,A510,PRIMARY GENITAL SYPHILIS,1
233,A511,PRIMARY ANAL SYPHILIS,1
234,A512,PRIMARY SYPHILIS OF OTHER SITES,1
235,A513,SECONDARY SYPHILIS OF SKIN AND MUCOUS MEMBRANES,1
236,A514,OTHER SECONDARY SYPHILIS,1
237,A515,"EARLY SYPHILIS, LATENT",1
238,A519,"EARLY SYPHILIS, UNSPECIFIED",1
239,A520,CARDIOVASCULAR SYPHILIS,1
240,A521,SYMPTOMATIC NEUROSYPHILIS,1
241,A522,ASYMPTOMATIC NEUROSYPHILIS,1
242,A523,"NEUROSYPHILIS, UNSPECIFIED",1
243,A527,OTHER SYMPTOMATIC LATE SYPHILIS,1
244,A528,"LATE SYPHILIS, LATENT",1
245,A529,"LATE SYPHILIS, UNSPECIFIED",1
246,A530,"LATENT SYPHILIS, UNSPECIFIED AS EARLY OR LATE",1
247,A539,"SYPHILIS, UNSPECIFIED",1
248,A540,GONOCOCCAL INFECTION OF LOWER GENITOURINARY TRACT WITHOUT PERIURETHRAL OR ACCESSORY GLAND ABSCESS,1
249,A541,GONOCOCCAL INFECTION OF LOWER GENITOURINARY TRACT WITH PERIURETHRAL AND ACCESSORY GLAND ABSCESS,1
250,A542,GONOCOCCAL PELVIPERITONITIS AND OTHER GONOCOCCAL GENITOURINARY INFECTIONS,1
251,A543,GONOCOCCAL INFECTION OF EYE,1
252,A544,GONOCOCCAL INFECTION OF MUSCULOSKELETAL SYSTEM,1
253,A545,GONOCOCCAL PHARYNGITIS,1
254,A546,GONOCOCCAL INFECTION OF ANUS AND RECTUM,1
255,A548,OTHER GONOCOCCAL INFECTIONS,1
256,A549,"GONOCOCCAL INFECTION, UNSPECIFIED",1
257,A55X,CHLAMYDIAL LYMPHOGRANULOMA (VENEREUM),1
258,A560,CHLAMYDIAL INFECTION OF LOWER GENITOURINARY TRACT,1
259,A561,CHLAMYDIAL INFECTION OF PELVIPERITONEUM AND OTHER GENITOURINARY ORGANS,1
260,A562,"CHLAMYDIAL INFECTION OF GENITOURINARY TRACT, UNSPECIFIED",1
261,A563,CHLAMYDIAL INFECTION OF ANUS AND RECTUM,1
262,A564,CHLAMYDIAL INFECTION OF PHARYNX,1
263,A568,SEXUALLY TRANSMITTED CHLAMYDIAL INFECTION OF OTHER SITES,1
264,A57X,CHANCROID,1
265,A58X,GRANULOMA INGUINALE,1
266,A590,UROGENITAL TRICHOMONIASIS,1
267,A598,TRICHOMONIASIS OF OTHER SITES,1
268,A599,"TRICHOMONIASIS, UNSPECIFIED",1
269,A600,HERPESVIRAL INFECTION OF GENITALIA AND UROGENITAL TRACT,1
270,A601,HERPESVIRAL INFECTION OF PERIANAL SKIN AND RECTUM,1
271,A609,"ANOGENITAL HERPESVIRAL INFECTION, UNSPECIFIED",1
272,A630,ANOGENITAL (VENEREAL) WARTS,1
273,A638,OTHER SPECIFIED PREDOMINANTLY SEXUALLY TRANSMITTED DISEASES,1
274,A64X,UNSPECIFIED SEXUALLY TRANSMITTED DISEASE,1
275,A65X,NONVENEREAL SYPHILIS,1
276,A660,INITIAL LESIONS OF YAWS,1
277,A661,MULTIPLE PAPILLOMATA AND WET CRAB YAWS,1
278,A662,OTHER EARLY SKIN LESIONS OF YAWS,1
279,A663,HYPERKERATOSIS OF YAWS,1
280,A664,GUMMATA AND ULCERS OF YAWS,1
281,A665,GANGOSA,1
282,A666,BONE AND JOINT LESIONS OF YAWS,1
283,A667,OTHER MANIFESTATIONS OF YAWS,1
284,A668,LATENT YAWS,1
285,A669,"YAWS, UNSPECIFIED",1
286,A670,PRIMARY LESIONS OF PINTA,1
287,A671,INTERMEDIATE LESIONS OF PINTA,1
288,A672,LATE LESIONS OF PINTA,1
289,A673,MIXED LESIONS OF PINTA,1
290,A679,"PINTA, UNSPECIFIED",1
291,A680,LOUSE-BORNE RELAPSING FEVER,1
292,A681,TICK-BORNE RELAPSING FEVER,1
293,A689,"RELAPSING FEVER, UNSPECIFIED",1
294,A690,NECROTIZING ULCERATIVE STOMATITIS,1
295,A691,OTHER VINCENT'S INFECTIONS,1
296,A692,LYME DISEASE,1
297,A698,OTHER SPECIFIED SPIROCHAETAL INFECTIONS,1
