id,description,icd
1,CHOLERA DUE TO VIBRIO CHOLERAE 01 BIOVAR CHOLERAE,1
2,CHOLERA DUE TO VIBRIO CHOLERAE 01 BIOVAR ELTOR,2
3,CHOLERA UNSPECIFIED,3
4,TYPHOID FEVER,4
5,PARATYPHOID FEVER A,5
6,PARATYPHOID FEVER B,6
7,PARATYPHOID FEVER C,7
8,PARATYPHOID FEVER UNSPECIFIED,8
9,SALMONELLA ENTERITIS,9
10,SALMONELLA SEPTICAEMIA,10
11,LOCALIZED SALMONELLA INFECTIONS,11
12,OTHER SPECIFIED SALMONELLA INFECTIONS,12
13,SALMONELLA INFECTION UNSPECIFIED,13
14,SHIGELLOSIS DUE TO SHIGELLA DYSENTERIAE,14
15,SHIGELLOSIS DUE TO SHIGELLA FLEXNERI,15
16,SHIGELLOSIS DUE TO SHIGELLA BOYDII,16
17,SHIGELLOSIS DUE TO SHIGELLA SONNEI,17
18,OTHER SHIGELLOSIS,18
19,SHIGELLOSIS UNSPECIFIED,19
20,ENTEROPATHOGENIC ESCHERICHIA COLI INFECTION,20
21,ENTEROTOXIGENIC ESCHERICHIA COLI INFECTION,21
22,ENTEROINVASIVE ESCHERICHIA COLI INFECTION,22
23,ENTEROHAEMORRHAGIC ESCHERICHIA COLI INFECTION,23
24,OTHER INTESTINAL ESCHERICHIA COLI INFECTIONS,24
25,CAMPYLOBACTER ENTERITIS,25
26,ENTERITIS DUE TO YERSINIA ENTEROCOLITICA,26
27,ENTEROCOLITIS DUE TO CLOSTRIDIUM DIFFICILE,27
28,OTHER SPECIFIED BACTERIAL INTESTINAL INFECTIONS,28
29,BACTERIAL INTESTINAL INFECTION UNSPECIFIED,29
30,FOODBORNE STAPHYLOCOCCAL INTOXICATION,30
31,BOTULISM,31
32,FOODBORNE CLOSTRIDIUM PERFRINGENS CLOSTRIDIUM WELCHII INTOXICATION,32
33,FOODBORNE VIBRIO PARAHAEMOLYTICUS INTOXICATION,33
34,FOODBORNE BACILLUS CEREUS INTOXICATION,34
